Title,Other titles,ISBN,All names,Series title,Number within series,Country of publication,Place of publication,Publisher,Date of publication,Genre
Altars of destiny,Druides: 3. La lance de lug. English ; Druides: 4. La ronde des géants ; Druids. 2. The altars of destiny,9.78191E+12,"Jigourel, Thierry [person] ; Istin, Jean-Luc [person] ; Lamontagne, Jacques, 1961- [person]",,,Wales,Tresaith,Dalen,2012,Comic or graphic novel ; Fantasy ; Fiction ; Novel ; Young adult fiction
Alter ego,,9.78143E+12,"Sanchez, Ana C., artist ; author [person]",,,United States of America,Los Angeles,TokyoPop,2021,Comic or graphic novel ; Fiction ; Novel
Altered fates,Blue hole ; Cure ; Eastman and Laird's Tales of the Teenage Mutant Ninja Turtles. Volume 7 ; Ghost story ; Rippling ; Tales of the TMNT ; Tales of the Teenage Mutant Ninja Turtles. Volume 7 ; Trophy ; Wrong turn,9.78163E+12,"Allan, Chris, artist ; illustrator [person] ; May, Ross [person] ; Black, Jake [person] ; Talbot, Eric, artist [person] ; Murphy, Steve, writer [person] ; Lawson, Jim, 1960- [person]",,,United States of America,"San Diego, California",,2015,Comic or graphic novel ; Fiction
Alterna : 10 years,Alterna anniverSERIES anthology : 10 years of creator-owned comics,9.78193E+12,,,,United States of America,"Newfields, New Hampshire",Alterna Comics,2016,Comic or graphic novel
Always bet on red,,9.7813E+12,"Owens, Matt, author [person] ; Cabal, Juann, artist [person]",Elektra,1 [Elektra],United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction ; Science fiction
Amanite,,9.7816E+12,"Razzi, Manuela [person] ; Rodrigue, 1961- [person] ; Dalena, Antonello [person]",Sybil the backpack fairy,2 [Sybil the backpack fairy],England ; United States of America,Godalming ; New York,Melia ; Papercutz,2012,Children's fiction ; Comic or graphic novel
Amaterasu : return of the sun,,9.78082E+12,"Randall, Ron [person] ; Storrie, Paul D. [person]",Graphic myths and legends series,,England ; United States of America,"London ; Minneapolis, Minnesota",Lerner ; Turnaround,2007,Children's fiction ; Comic or graphic novel
Amazing Agent Luna,,,"DeFilippis, Nunzio [person] ; Shiei [person] ; Weir, Christina [person]",,,United States of America,"Los Angeles, California",Seven Seas,2005-,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
Amazing Amazon,Gods and mortals ; Paradise Island ; Powerful princess ; Wonder Woman : chronicles of the Amazon princess ; Works. Selections,9.78076E+12,"Korté, Steven, artist ; author [person] ; Korté, Steven [person]",,,United States of America,Philadelphia,Running,2019,Comic or graphic novel ; Fiction
Amazing Spiderman,The amazing Spider-Man. The wings of the vulture,9.7819E+12,"Romita, John, 1930- [person] ; Lee, Stan, 1922-2018 [person] ; Lieber, Larry [person]",Marvel pocketbook,2 [Marvel pocketbook],England,Tunbridge Wells,Panini,2004,Comic or graphic novel
Amazing adventures,Carmelo Anthony special ; Drip ; Instru-mental ; Remember that one time ...? ; Teenage Mutant Ninja Turtles: amazing adventures. Volume 4,9.78163E+12,"Manning, Matthew K. [person] ; Goellner, Caleb [person]",,,United States of America,"San Diego, California",,2017,Comic or graphic novel ; Fiction ; Novel
Amazing fantastic incredible : a marvelous memoir,,9.78147E+12,"David, Peter (Peter Allen), author [person] ; Lee, Stan, 1922-2018, author [person] ; Doran, Colleen, 1963-, artist [person]",,,England,London,Simon & Schuster,2015,Comic or graphic novel
Amazing fantasy,,9.78079E+12,"Tobin, Paul, 1965- [person] ; Lolli, Matteo [person] ; DiSalvo, Rob [person]",Spider-man,,England ; United States of America,London ; New York,Marvel ; Turnaround,2012,Comic or graphic novel ; Fiction
Amazing forest,,9.78163E+12,"Dufour, Julien, artist ; illustrator [person] ; Farinas, Ulises, author [person] ; Freitas, Erick, author [person]",,,United States of America,"San Diego, California",,2016,Comic or graphic novel
Amazing friends,Spider-man amazing friends ; Spiderman amazing friends,9.78079E+12,"Giffen, Keith [person] ; Burchett, Rick [person]",,,United States of America,New York,Marvel Publishing,2009,Comic or graphic novel ; Fiction
Amazing grace,,9.78185E+12,"Broccardo, Andrea, artist [person] ; Alonso, Axel, editor [person] ; Lewis, Devin, editor [person] ; Molina, Jose, 1971-, author [person] ; Lowe, Nick, 1979-, editor [person] ; Bianchi, Simone, artist [person]",The amazing Spider-man,,England,"Tunbridge Wells, Kent",Panini Publishing,2016,Comic or graphic novel ; Fiction ; Science fiction
Amazing origins,,9.78079E+12,"Edwards, Neil, artist [person] ; Thompson, Robbie, author [person] ; Bunn, Cullen, author [person]",Spider-man,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction ; Science fiction
Amazing powers,,9.7813E+12,"Taylor, Tom, 1978-, author [person] ; Latour, Jason, 1977-, author [person] ; Visions, Chris, artist [person]",Spider-gwen,,United States of America,New York,Marvel Worldwide,2020,Comic or graphic novel ; Fiction ; Science fiction
Amazing,,9.78079E+12,"Tobin, Paul, 1965-, author [person] ; Lolli, Matteo, artist [person]",Marvel adventures. Spider-man,,United States of America,New York,Marvel,2014,Comic or graphic novel ; Fiction ; Science fiction
Amazons attacked,,9.7814E+12,"Robinson, James, 1963-, author [person]",Wonder Woman,7 [Wonder Woman],United States of America,"Burbank, California",DC Comics,2018,Comic or graphic novel ; Fiction ; Science fiction
Ambush,Star wars: Clone wars (Television program),9.78014E+12,"Rau, Zachary [person]",Star wars: the Clone wars,,England,London,Puffin,2009,Comic or graphic novel ; Novel
Amelia Cole and the enemy unleashed,,9.78163E+12,"Knave, Adam P., 1975-, author [person] ; Brokenshire, Nick, illustrator [person] ; Kirkbride, D. J., author [person]",,,United States of America,"San Diego, California",,2014,Comic or graphic novel ; Fantasy ; Fiction
Amelia Cole and the impossible fate,,9.78163E+12,"Knave, Adam P., 1975-, author [person] ; Kirkbride, D. J., author [person] ; Brokenshire, Nick, artist [person]",Amelia Cole,volume 4 [Amelia Cole],United States of America,"San Diego, California",,2015,Comic or graphic novel ; Fantasy ; Fiction
Amelia Cole and the unknown world,,9.78161E+12,"Knave, Adam P., 1975-, author [person] ; Kirkbride, D. J., author [person] ; Brokenshire, Nick, artist [person]",,,United States of America,"San Diego, California",,2013,Comic or graphic novel ; Fantasy
Amelia Cole versus the end of everything,,9.78163E+12,"Knave, Adam P., 1975-, author [person] ; Deering, Rachel, 1983- [person] ; Kirkbride, D. J., author [person] ; Brokenshire, Nick, artist [person]",Amelia Cole,volume 5 [Amelia Cole],United States of America,"San Diego, California",,2016,Comic or graphic novel
American blood,,9.78161E+12,"Marra, Benjamin, 1977-, artist ; author [person]",,,United States of America,"Seattle, Washington",Fanagraphics,2016,Comic or graphic novel
American born Chinese,,9781596431522 ; 9781596432086,"Yang, Gene Luen [person] ; Pien, Lark [person]",,,England ; United States of America,London ; New York,First Second,2006,Comic or graphic novel ; Fiction
American choppers,,9.78162E+12,"Nicolle, Malachai, author [person] ; Nicolle, Ethan, artist [person]",Axe Cop,6 [Axe Cop],United States of America,Milwaukie,Dark Horse,2014,Comic or graphic novel ; Fiction
American dreamers,,9.78185E+12,"Brubaker, Ed [person] ; McNiven, Steve [person]",Captain America,,England,Tunbridge Wells,Panini,2012,Comic or graphic novel ; Fiction ; Science fiction
American elf : the collected sketchbook diaries of James Kochalka,"January 1, 2004 to December 31, 2005 -- ; January 1, 2006 to December 31, 2007 ; October 26, 1998 to December 31, 2003 --",,"Kochalka, James [person]",,,United States of America,"Marietta, Georgia",Top Shelf,2004-,Comic or graphic novel ; Diary
American history Z,FUBAR. Vol 3. American history Z,9.78193E+12,"McClelland, Jeff, editor [person] ; Becker, Steve, artist [person] ; McComsey, Jeff, editor [person]",,,United States of America,Levittown,FUBAR Press,2014,Comic or graphic novel ; Novel
American nightmare,,9.78079E+12,"Waid, Mark, 1962- [person]",Captain America,,England ; United States of America,London ; New York,Marvel ; Turnaround,2011,Comic or graphic novel ; Fiction
American nightmares,,9.78079E+12,"Aguirre-Sacasa, Roberto [person] ; Perkins, Mike [person]",The stand,,England ; United States of America,London ; New York,Diamond ; Marvel,2009,Comic or graphic novel ; Fiction ; Horror
American quitters,Big yin ; Crossed. Volume 8 ; Crossed. Volume 8. Badlands ; Gore Angels,9.78159E+12,"Andrade, Gabriel, artist [person] ; Spurrier, Simon [person] ; Erramouspe, German, artist [person] ; Ennis, Garth [person] ; Ortiz, Rafael, artist [person] ; Hine, David [person]",,,United States of America,Rantoul,Avatar,2014,Comic or graphic novel ; Fiction ; Horror
American son,,9.78079E+12,"Kelly, Joe, 1971- [person] ; Jimenez, Phil [person] ; Beredo, Rain [person] ; Eaglesham, Dale [person] ; Wooton, Rus [person] ; Eliopoulos, Chris [person] ; Cox, Jeremy [person] ; Lanning, Andy [person] ; Caramagna, Joe [person] ; Chuckry, Chris [person]",The amazing Spider-man,,England ; United States of America,London ; New York,Diamond ; Marvel,2009,Comic or graphic novel ; Fiction
American splendor,,,"Pekar, Harvey [person] ; Rund, J. B. (Jeffrey Bruce) [person]",,,United States of America,"Cleveland Heights, Ohio ; Milwaukie, Oregon",Dark Horse Comics ; H. Pekar,1976-1993,Comic or graphic novel
American splendour,American splendour : the life and times of Harvey Pekar ; stories ; From off the streets of Cleveland comes - American splendour ; More American splendour,9.78184E+12,"Pekar, Harvey [person] ; Crumb, R. [person]",,,England,London,Titan,2004,Comic or graphic novel ; Fiction
American terrorist,,9.78195E+12,"Zimmerman, Justin, editor [person] ; MacDonald, Andy, artist [person] ; Wiggam, Michael E., artist [person] ; Chin-Tanner, Tyler, author [person] ; Wilson, Matthew, 1981-, artist [person] ; Chin-Tanner, Wendy, author [person]",,,United States of America,New York,A Wave Blue World,2020,Comic or graphic novel ; Fiction ; Suspense
American vampire,,9.78086E+12,"Snyder, Scott [person] ; King, Stephen, 1947- [person] ; Albuquerque, Rafael, 1981- [person]",,,England,London,Titan,2010,Comic or graphic novel ; Fiction ; Horror
American wasteland,,9.78193E+12,"Palmiotti, Jimmy [person] ; Blaylock, Josh [person]",Vampire Hunter D,,England ; United States of America,"Chicago, Illinois ; London",Devil's Due ; Diamond,2009,Comic or graphic novel ; Fiction
Americatown,,9.78161E+12,"Winters, Bradford, author [person] ; Irizarri, Daniel, illustrator [person] ; Hahn, Sierra, editor [person] ; Newman, Scott, artist [person] ; Battaglia, Matt, colorist [person] ; Popov, Vladimir, colorist [person] ; Brill, Ian, editor [person] ; Cohen, Larry, 1936-2019, author [person] ; Aldridge, Shawn [person]",,,United States of America,"Los Angeles, California",Archaia,2016,Comic or graphic novel
Amerika,,9.78191E+12,"Fraser, Simon, 1969- [person] ; Burns, John, 1938- [person] ; Morrison, Robbie [person]",Nikolai Dante,,England,Oxford,Rebellion,2009,Comic or graphic novel ; Fiction ; Science fiction
Amethyst,Sword of sorcery. Volume 1. Amethyst,9.7814E+12,"Bedard, Tony, author [person] ; Lopresti, Aaron, artist [person] ; Saiz, Jesús, artist [person] ; Marx, Christy, author [person] ; Andreyko, Marc, author [person]",,,United States of America,New York,DC Comics,2013,Comic or graphic novel
Amity blamity,,,"White, Mike, 1979- [person]",,,United States of America,"San Jose, California",SLG Pub,2011-,Comic or graphic novel ; Novel
Amnesia,,9.78156E+12,"Malloy, John [person]",,,England ; United States of America,London ; New York,Turnaround,2002,Comic or graphic novel ; Fiction ; Novel
Amnesty,,9.78178E+12,"Rocha, Robson, artist [person] ; DeConnick, Kelly Sue, author [person]",Aquaman,volume 2 [Aquaman],United States of America,"Burbank, California",DC Comics,2020,Comic or graphic novel ; Fiction ; Science fiction
Among the damned,Dead/alive ; Dying inside ; Grinning man ; Paint it black ; Silent Hill omnibus,9.7816E+12,"Ciencin, Scott [person]",,,United States of America,"San Diego, California",,2008,Comic or graphic novel ; Fiction
Amored vengeance,,9.78079E+12,"Michelinie, David, author [person] ; Ross, Dave, artist [person] ; Layton, Bob, author [person]",Iron Man,,United States of America,New York,Marvel,2013,Comic or graphic novel ; Fiction ; Science fiction
Amour : the Amour anthology,Arcana Studio presents Amour,,"Thompson, Bart A. [person] ; Pineda, Ezequiel [person]",,,Canada,"Burnaby, British Columbia",Arcana Comics,2011,Comic or graphic novel
Amphibia and insecta,Amphibia & insecta,9.78163E+12,"Mackiewicz, Sean, editor [person] ; Dingess, Chris, 1974-, author [person]",Manifest destiny,volume 2 [Manifest destiny],United States of America,"Berkeley, California",Image Comics,2015,Comic or graphic novel ; Fantasy ; Fiction
Amplified now,Godland ; Gødland. Volume four. Amplified now,9.78158E+12,"Scioli, Tom [person] ; Casey, Joe [person]",,,United States of America,"Berkeley, California",Image Comics,2008,Comic or graphic novel ; Novel ; Science fiction
Amrahlynn,Hyena ; Poison elves ventures,,"Davidsen, Keith [person] ; Bordner, Aaron [person] ; Hayes, Drew, 1969-2007 [person] ; Lewis, Scott [person]",,,United States of America,"Unadilla, New York",Sirius,2006-2007,Comic or graphic novel ; Fiction
Amulet,Stonekeeper,,"Kibuishi, Kazu, 1978- [person]",,,England ; United States of America,London ; New York,Graphix,2008-,Children's fiction ; Comic or graphic novel ; Fantasy
An Anzac tale,,9.78192E+12,"Starke, Ruth, author [person] ; Holfeld, Greg, illustrator [person]",,,Australia,"Adelaide, South",Working Title Press,2013,Children's fiction ; Comic or graphic novel ; Novel
An Egyptian escape,,9.78185E+12,"Gerrard, K. A. (Kelly A.) [person] ; Dodd, Emma, 1969- [person]",A Charlie and,Bandit adventure [A Charlie and],England,Dorking,Templar,2012,Adventure ; Children's fiction ; Comic or graphic novel
An alien in New York,,9.78151E+12,"Parkhouse, Steve, artist [person] ; Hogan, Peter, author [person]",Resident alien,volume 5 [Resident alien],United States of America,Milwaukie,Dark Horse,2018,Comic or graphic novel ; Fiction ; Science fiction
An awesome mix,,9.7813E+12,"Caramagna, Joe, author [person]",Guardians of the Galaxy,,United States of America,New York,Marvel Worldwide,2017,Comic or graphic novel ; Fiction
An elegy for Amelia Johnson,,9.78193E+12,"Valeza, Dave [person] ; Rostan, Andrew [person] ; Kasenow, Kate [person]",,,United States of America,"Los Angeles, California",Archaia Entertainment,2011,Comic or graphic novel ; Novel
An enchantment : the Louvre collection,,9.78156E+12,"Durieux, Christian [person]",,,England ; United States of America,London ; New York,Turnaround,2013,Comic or graphic novel ; Fiction ; Novel
An even more beautiful lie,Mottomo utsukushii usono koto. English,9.78157E+12,"Kanai, Kei [person]",,,Japan,"Gardena, California ; Tokyo",Digital Manga ; Taiyoh Tosho,2011,Comic or graphic novel ; Fiction ; Novel
An ideal world,,9.78076E+12,"Peng, Chao, 1975- [person] ; Chen, Weidong, 1969- [person]",Tale of the villagers,,United States of America,New York,,2009,Comic or graphic novel ; Fiction ; Novel ; Young adult fiction
An impossible ransom,Damocles. English,9.78185E+12,"Bence, Mark, translator [person] ; Callède, Joël, author [person] ; Henriet, Alain, illustrator [person]",Damocles,2 [Damocles],England,Canterbury,Cinebook,2015,Comic or graphic novel ; Fiction ; Science fiction ; Young adult fiction
An outcast of Mars,,9.78152E+12,"Georgiev, Vasco, artist [person] ; Abnett, Dan, author [person]",Dejah Thoris,,United States of America,Mount Laurel,Dynamite Entertainment,2020,Comic or graphic novel ; Fiction ; Science fiction
